date,positive_count,negative_count,neutral_count,avg_sentiment_score
2019-12-19,0,1,0,-0.9999589367416775
2020-01-07,0,1,0,-0.9997676825805684
2020-01-14,0,1,0,-0.9997126982161717
2020-01-18,0,2,0,-0.9999431096321132
2020-01-20,0,1,0,-0.9995498684293125
2020-01-21,0,1,0,-0.999936602964226
2020-01-23,0,1,0,-0.9999885682218519
2020-01-24,0,2,0,-0.9999557306273346
2020-01-25,0,1,0,-0.999955146909997
2020-01-29,0,2,0,-0.999924868013295
2020-02-11,0,1,0,-0.9997660135049955
2020-02-12,0,1,0,-0.9967774826363893
2020-02-13,0,1,0,-0.9999859546223888
2020-02-14,0,1,0,-0.9997921810427215
2020-02-25,0,1,0,-0.9566300592850894
2020-03-02,0,1,0,-0.9997642707676277
2020-03-03,0,1,0,-0.9964274750091136
2020-03-04,0,2,0,-0.9990094627028157
2020-03-13,0,1,0,-0.9999929862699446
2020-04-08,0,1,0,-0.9795789380223141
2020-04-13,0,1,0,-0.9979869566159323
2020-04-15,0,1,0,-0.9914228301495314
2020-04-18,0,4,0,-0.9948664079413447
2020-04-27,0,1,0,-0.9999844844319341
2020-05-04,0,1,0,-0.9998697117334814
2020-05-13,0,1,0,-0.9999781444130349
2020-05-19,0,1,0,-0.9998506017727777
2020-05-29,1,0,0,0.99999897442882
2020-06-04,0,1,0,-0.9999085835988808
2020-06-18,0,1,0,-0.9997545632941183
2020-06-19,0,1,0,-0.9998151238760329
2020-06-20,0,1,0,-0.9999825467266419
2020-06-24,0,2,0,-0.9997416164223978
2020-06-27,0,1,0,-0.9997973058270873
2020-06-28,0,1,0,-0.9991903510817792
2020-07-10,0,1,0,-0.9997177346958779
2020-07-13,2,0,0,0.9124824037962753
2020-07-14,1,0,0,0.9995343765658617
2020-07-17,0,0,1,8.685194302415766e-06
2020-07-18,0,2,1,-0.6418564477147205
2020-07-20,0,0,2,-5.811779135722617e-07
2020-07-21,0,2,0,-0.9999485329105937
2020-07-22,0,4,0,-0.999901297513702
2020-07-24,0,1,0,-0.9996384681617201
2020-07-27,1,1,0,-0.0006660946492047515
2020-07-31,0,1,0,-0.9998368998712976
2020-08-03,1,2,0,-0.5949828026969044
2020-08-04,0,4,2,-0.6769649483768964
2020-08-05,0,0,1,-0.006926417583599687
2020-08-06,0,1,0,-0.9989537752699107
2020-08-07,0,1,0,-0.9998000963387312
2020-08-14,0,1,0,-0.9998206132622727
2020-08-17,0,1,0,-0.9991578674525954
2020-08-19,0,2,0,-0.9998999042763899
2020-08-20,1,0,0,0.9762335103005171
2020-08-21,0,2,1,-0.6902697724011281
2020-08-22,0,1,0,-0.9999403986603284
2020-08-24,0,2,1,-0.6667674589310385
2020-08-28,0,2,0,-0.9998460274200625
2020-08-31,0,0,1,-6.124692752962346e-08
2020-09-02,0,1,0,-0.9995025183889084
2020-09-04,1,1,0,0.008826068718917668
2020-09-05,0,2,0,-0.9434432621637825
2020-09-07,1,2,1,-0.2879964993444446
2020-09-08,0,1,0,-0.9972044816240668
2020-09-09,0,2,1,-0.6632711340774525
2020-09-10,0,3,0,-0.9820947178523056
2020-09-11,1,4,0,-0.5997231305628702
