date,positive_count,negative_count,neutral_count,avg_sentiment_score
2021-02-18,0,2,0,-0.9864852505252202
2021-02-19,0,1,0,-0.522139847278595
2021-02-22,0,4,0,-0.9789290426961657
2021-02-23,1,5,0,-0.6566347924518444
2021-02-24,0,1,0,-0.9999945352267332
2021-02-25,0,2,1,-0.6698652222974791
2021-02-26,0,3,0,-0.9998353514237124
2021-02-27,0,2,0,-0.9999690706613364
2021-02-28,0,3,0,-0.9998477971245544
2021-03-01,0,1,0,-0.9997674402002303
2021-03-02,0,4,1,-0.8012739907150717
2021-03-03,0,3,1,-0.8328958946583498
2021-03-04,0,4,0,-0.9999171714930526
2021-03-05,0,2,0,-0.973729480369002
2021-03-06,0,1,0,-0.9999409759238915
2021-03-08,1,1,0,0.0008269789414043771
2021-03-09,0,2,0,-0.9998354658146127
2021-03-10,0,3,0,-0.9949369281736532
2021-03-11,0,1,1,-0.7228853382230227
2021-03-12,0,2,0,-0.9999890715623678
2021-03-13,0,1,0,-0.9999948732743178
2021-03-15,0,2,0,-0.9999754106654564
2021-03-17,2,5,1,-0.39490795779188126
2021-03-19,1,5,0,-0.7378244784489046
2021-03-22,1,5,0,-0.566210234082348
2021-03-23,0,3,0,-0.9999287141727109
2021-03-24,0,6,0,-0.9994715528055451
2021-03-25,2,3,0,-0.022171101061076115
2021-03-26,0,1,0,-0.9998892092371534
2021-03-28,0,1,0,-0.007470607757568359
2021-04-01,0,2,0,-0.9999784907687967
2021-04-02,0,4,0,-0.9980762350056693
2021-04-03,0,1,0,-0.9627829696983099
2021-04-05,0,1,0,-0.999890286813752
2021-04-06,0,2,0,-0.9999283080796886
2021-04-07,1,3,1,-0.6096451796299334
2021-04-09,0,2,1,-0.6661707169835628
2021-04-13,0,1,0,-0.9998637023672927
2021-04-15,1,0,0,0.9999680326227463
2021-04-16,0,1,0,-0.99972959983279
2021-04-17,0,1,0,-0.9992589898465667
2021-04-19,0,1,0,-0.9979050940310117
2021-04-20,0,2,1,-0.6662243427878517
2021-04-23,0,1,0,-0.9999943431992051
2021-04-24,0,2,0,-0.9999951049941274
2021-04-26,0,9,0,-0.9788017228887484
2021-04-27,1,4,2,-0.44723174369033786
2021-04-28,0,4,1,-0.7379925773706939
2021-04-29,0,0,3,-0.004391252988132995
2021-04-30,4,6,2,-0.2090527991417647
2021-05-01,0,2,0,-0.9999768433694953
2021-05-03,2,1,4,0.145919734823125
2021-05-04,2,1,0,0.3322234233391252
2021-05-05,0,1,0,-0.9999944153378237
2021-05-06,0,0,1,-1.1025755455307262e-05
2021-05-11,0,1,0,-0.9999054383260955
2021-05-13,0,1,0,-0.9999863101197661
2021-05-17,0,1,0,-0.9999843360710656
2021-05-18,0,0,1,-0.25238910732150543
2021-05-19,1,0,0,0.36559930443763733
2021-05-20,0,1,0,-0.9998251451033866
2021-05-21,1,0,0,0.9999396484672616
2021-05-25,0,1,0,-0.006713002920150757
2021-05-26,0,1,0,-0.999986092092513
2021-05-28,0,6,3,-0.6464979860853488
2021-05-30,0,1,0,-0.9998266324546421
2021-05-31,0,3,2,-0.5368434106621862
2021-06-01,0,2,0,-0.9651196794584394
2021-06-02,0,5,0,-0.983248963963365
2021-06-03,0,1,1,-0.49999772674897347
2021-06-04,0,2,0,-0.9999736357963229
2021-06-08,0,0,1,3.307090452153716e-06
2021-06-09,2,2,1,-0.010321581694097404
2021-06-10,3,3,1,-0.12524106322712214
2021-06-11,0,1,2,-0.3075389568546143
2021-06-14,0,3,2,-0.5998449554191438
2021-06-15,0,0,1,-0.13372785784304142
2021-06-16,3,2,0,0.3070838988281139
2021-06-17,0,1,0,-0.9339853146084351
2021-06-18,0,1,0,-0.9940032612066716
2021-06-21,0,1,2,-0.3333239266975298
2021-06-22,0,1,2,-0.32990669427696656
2021-06-23,2,0,0,0.9913841517991386
2021-06-24,0,16,4,-0.7577395127142417
2021-06-25,0,5,4,-0.5552409734123293
2021-06-26,0,1,0,-0.9760155137628317
2021-06-28,1,5,0,-0.47158506707107034
2021-06-29,1,3,0,-0.49996874546273773
2021-06-30,0,3,1,-0.6324558825884274
2021-07-02,3,0,0,0.9984988584298359
2021-07-06,2,2,1,-0.00036572210203758007
2021-07-07,0,1,0,-0.9977289264788851
2021-07-08,0,1,0,-0.9998935738149157
2021-07-12,0,2,0,-0.9989517245849129
2021-07-13,0,1,0,-0.9997589369813795
2021-07-15,0,1,1,-0.5228239485205677
2021-07-16,0,4,0,-0.9996812961881005
2021-07-19,0,1,0,-0.9991771907079965
2021-07-22,0,1,0,-0.9941934633534402
2021-07-23,1,7,3,-0.5330431913800763
2021-07-24,0,1,0,-0.9999991277623792
2021-07-25,0,1,0,-0.9993210428510793
2021-07-26,1,1,0,-5.419223043645616e-07
2021-08-02,0,1,2,-0.33954870412912896
2021-08-03,0,2,0,-0.9973417070286814
2021-08-04,0,2,0,-0.9625681478355546
2021-08-05,0,1,1,-0.4999956679982258
2021-08-06,3,4,3,-0.17022002041211975
2021-08-09,0,1,0,-0.9962671819375828
2021-08-10,0,8,1,-0.8884139668700881
2021-08-11,0,1,0,-0.9999814943184901
2021-08-12,0,3,1,-0.7500289588858777
2021-08-13,0,1,0,-0.9999842743791305
2021-08-14,1,0,0,0.9999972040006604
2021-08-16,2,5,2,-0.311589090315375
2021-08-18,0,2,0,-0.9804446455091238
2021-08-19,1,0,0,0.9961692000506446
2021-08-24,0,0,1,0.08868804824305698
2021-08-26,0,1,1,-0.49982667614243326
2021-08-28,0,1,0,-0.9966905554756522
2021-08-29,0,1,0,-0.9997411569822816
2021-08-30,0,1,1,-0.3921571181364243
2021-08-31,0,1,0,-0.9907481198315509
2021-09-02,0,1,1,-0.5197221179114422
2021-09-03,0,3,4,-0.53288009579137
2021-09-05,0,1,0,-0.998993908171542
2021-09-06,0,3,3,-0.4999372094124273
2021-09-07,0,6,1,-0.8554609935975045
2021-09-08,1,1,3,0.049900945805053706
2021-09-09,1,1,0,-0.0008478196238002056
2021-09-10,1,2,1,-0.24958583695248393
2021-09-13,2,1,1,0.2324903608416662
2021-09-15,0,4,1,-0.7964668436984539
2021-09-16,0,1,0,-0.9996160510927439
2021-09-19,0,1,0,-0.9993649426614866
2021-09-21,0,4,0,-0.9875238858094235
2021-09-22,0,0,1,-4.060049852228076e-05
2021-09-23,1,3,1,-0.6105942972528282
2021-09-24,0,1,1,-0.4999783618788467
2021-09-27,0,1,0,-0.9924941717181355
2021-09-28,0,2,0,-0.9787716309656389
2021-09-29,1,1,0,0.020790918448710727
2021-09-30,0,3,0,-0.9999638648737346
2021-10-02,0,2,0,-0.9996492824618599
2021-10-04,0,1,0,-0.9999069885343488
2021-10-05,0,2,0,-0.9994885852534026
2021-10-07,0,5,1,-0.8332276997404028
2021-10-08,0,2,0,-0.9633316613968645
2021-10-09,0,1,0,-0.9989305313429213
2021-10-10,0,6,0,-0.8859303425757995
2021-10-11,0,5,4,-0.5872971711080734
2021-10-12,0,2,0,-0.9996634400943094
2021-10-13,0,7,0,-0.9836772904602314
2021-10-14,0,2,1,-0.6667718671275983
2021-10-18,0,1,0,-0.9999172369789449
2021-10-19,1,0,0,0.9186655860394239
2021-10-20,0,5,0,-0.9783755755066522
2021-10-21,0,4,0,-0.9848902700614417
2021-10-22,1,8,3,-0.5309611571206007
2021-10-23,0,3,0,-0.9989163233294676
2021-10-25,0,0,2,-0.00034854906340331393
2021-10-26,0,3,0,-0.9998044221399596
2021-10-27,0,4,0,-0.9996292884853801
2021-10-28,0,1,1,-0.4998354693489091
2021-10-29,0,3,0,-0.9996972522743212
2021-11-01,0,1,0,-0.9998857269056316
2021-11-02,2,0,0,0.8878949098289013
2021-11-03,0,1,0,-0.9994430615042802
2021-11-04,0,1,0,-0.9999969313364545
2021-11-05,0,1,0,-0.9983360288315453
2021-11-08,0,2,0,-0.9988352289365139
2021-11-09,0,3,0,-0.995417939433537
2021-11-10,0,3,0,-0.9937553449599363
2021-11-12,0,2,0,-0.9998807637130085
2021-11-13,0,1,0,-0.9999616702734784
2021-11-14,0,1,0,-0.9999776733084218
2021-11-16,1,2,0,-0.3439716362378628
2021-11-17,2,4,0,-0.21289548788342927
2021-11-19,0,2,0,-0.9356410774526012
2021-11-20,0,1,0,-0.9995937500352738
2021-11-22,5,3,0,-0.06431314498952645
2021-11-23,0,0,1,-1.1522682594744538e-06
2021-11-24,0,4,0,-0.9158102777973909
2021-11-25,3,3,2,-0.08204765376087275
2021-11-26,1,5,0,-0.6665944594788963
2021-11-28,0,1,0,-0.9967323553755705
2021-11-29,2,11,6,-0.49325466181106425
2021-11-30,0,2,0,-0.9971305520884925
2021-12-02,0,3,0,-0.9998856777795785
2021-12-03,1,0,1,0.46647039882373065
2021-12-06,1,0,0,0.9823602847754955
2021-12-07,0,2,0,-0.9999502638684135
2021-12-08,0,3,0,-0.9181526669096153
2021-12-09,0,1,0,-0.9998388266831171
2021-12-10,0,2,0,-0.9999375919710474
2021-12-12,0,1,0,-0.9980897002387792
2021-12-13,0,1,0,-0.9994485271017766
2021-12-14,1,2,0,-0.3591431602447604
2021-12-15,0,1,0,-0.9999822340787432
2021-12-16,1,1,0,0.0009596563019371729
2021-12-17,5,2,0,0.45793912670965903
2021-12-20,1,1,1,-0.06115084815731583
2021-12-21,0,2,1,-0.6735377680767366
2021-12-22,0,1,0,-0.999721142477938
2021-12-24,0,1,1,-0.4998998960775278
2021-12-27,0,1,0,-0.9995138101512566
2021-12-28,0,1,0,-0.9998860593550489
