headline,date,link
Asian Equities Traded in the US as American Depositary Receipts Rise in Tuesday Trading,08:07:25 29/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Tuesday-Trading-49756965/
Asian Equities Traded in the US as American Depositary Receipts Rise in Monday Trading,08:10:13 28/04/2025 pm IST,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Monday-Trading-49739802/
HDFC Bank : Earnings Call Transcript Q4FY25,04:32:07 28/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Earnings-Call-Transcript-Q4FY25-49736588/
HDFC Bank : Parivartan inaugurates its first ‘Learning Corner’ in Gurugram for underprivileged children,02:24:07 28/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Parivartan-inaugurates-its-first-Learning-Corner-in-Gurugram-for-underprivileged-c-49735072/
Asian Equities Traded in the US as American Depositary Receipts Lower in Friday Trading; End Week Up 5%,08:03:09 25/04/2025 pm IST,/quote/stock/UXIN-LIMITED-44403618/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Lower-in-Friday-Trading-End-Week-Up-49723786/
Asian Equities Traded in the US as American Depositary Receipts Track Higher in Thursday Trading,07:56:11 24/04/2025 pm IST,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Track-Higher-in-Thursday-Trading-49708050/
"India's Axis Bank beats quarterly profit view, sees improved retail loan growth in FY26",05:20:18 24/04/2025 pm IST,/quote/stock/AXIS-BANK-LIMITED-46730206/news/India-s-Axis-Bank-beats-quarterly-profit-view-sees-improved-retail-loan-growth-in-FY26-49705087/
RBI's cash influx seen a small relief amid global uncertainty,02:39:17 24/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/RBI-s-cash-influx-seen-a-small-relief-amid-global-uncertainty-49702404/
"Kay Cee Energy & Infra Limited announced that it expects to receive INR 250.272 million in funding from HDFC Bank Limited, Shine Star Build-Cap Private Limited, Moneywise Financial Services Private Limited, Vedas Opportunities Fund, VIKASA Capital LLC",03:30:00 24/04/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Kay-Cee-Energy-Infra-Limited-announced-that-it-expects-to-receive-INR-250-272-million-in-funding-f-49737277/
Asian Equities Traded in the US as American Depositary Receipts Surge in Wednesday Trading,08:15:41 23/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Surge-in-Wednesday-Trading-49691852/
Indian Indices Extend Winning Streak on Wednesday on Steady Q4 Earnings,04:19:15 23/04/2025 pm IST,/quote/index/NIFTY-500-9743679/news/Indian-Indices-Extend-Winning-Streak-on-Wednesday-on-Steady-Q4-Earnings-49687802/
Indian Indices Extend Gains on Tuesday as RBI's Liquidity Easing Boosts Banks,04:24:17 22/04/2025 pm IST,/quote/index/NIFTY-500-9743679/news/Indian-Indices-Extend-Gains-on-Tuesday-as-RBI-s-Liquidity-Easing-Boosts-Banks-49674738/
"INDIA STOCKS-Indian benchmarks log highest closing levels in nearly four months, financials lead charge",04:11:02 22/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-log-highest-closing-levels-in-nearly-four-months-financials-lead-cha-49674543/
"Indian benchmarks log highest closing levels in nearly four months, financials lead charge",04:11:02 22/04/2025 pm IST,/quote/index/NIFTY-50-9743680/news/Indian-benchmarks-log-highest-closing-levels-in-nearly-four-months-financials-lead-charge-49669864/
"HDFC Bank Limited Approves the Elevation of Prasun Singh as Group Head ? Ethics Function, with Effect from June 01, 2025",03:38:00 22/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Approves-the-Elevation-of-Prasun-Singh-as-Group-Head-Ethics-Function-with-Effec-49675548/
"HDFC Bank Limited Announces the Annual Renewal of Issuance of Perpetual Debt Instruments (Part of Additional Tier I Capital), Tier Ii Capital Bonds and Long-Term Bonds",03:36:00 22/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Announces-the-Annual-Renewal-of-Issuance-of-Perpetual-Debt-Instruments-Part-of-Ad-49675552/
"Nomura Adjusts HDFC Bank's Price Target to INR2,140 From INR1,920, Keeps at Buy",12:47:18 22/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Nomura-Adjusts-HDFC-Bank-s-Price-Target-to-INR2-140-From-INR1-920-Keeps-at-Buy-49672448/
INDIA STOCKS-Indian benchmarks eke out gains as financials rise on liquidity boost,10:45:10 22/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-eke-out-gains-as-financials-rise-on-liquidity-boost-49670493/
